city,customer_name,customer_segment,discount,number_of_records,order_date,order_id,order_priority,order_quantity,product_base_margin,product_category,product_container,profit,region,row_id,sales,ship_date,ship_mode,shipping_cost,state,unit_price,zip_code
Deer Park,Dorris Love,Home Office,0.05,1,1/5/2012,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,-32.48,East,47,188.73,1/6/2012,Regular Air,5.83,New York,7.64,11729
Fort Dodge,Matt Collins,Consumer,0.03,1,1/5/2012,1028,High,6,0.4,Technology,Small Pack,-28.46,Central,164,165.75,1/6/2012,Regular Air,1.99,Iowa,28.48,50501
Bedford,Darren Budd,Consumer,0.06,1,1/5/2012,57253,Critical,29,0.64,Furniture,Jumbo Drum,-1358.9,Central,8012,653.54,1/7/2012,Delivery Truck,53.03,Texas,20.98,76021
Norman,Pauline Chand,Small Business,0.01,1,1/5/2012,28451,Critical,21,0.59,Furniture,Large Box,1162.76,Central,3981,4201.08,1/7/2012,Regular Air,11.54,Oklahoma,194.3,73071
Monroe,Robert Waldorf,Home Office,0,1,1/5/2012,59232,High,23,0.4,Office Supplies,Small Box,245.97,South,8291,725.43,1/7/2012,Regular Air,5.76,Louisiana,30.98,71203
Mount Prospect,Susan Vittorini,Home Office,0.08,1,1/5/2012,52386,High,6,0.38,Technology,Jumbo Drum,-188.5812,Central,7352,700.73,1/7/2012,Delivery Truck,26.3,Illinois,120.97,60056
Norman,Pauline Chand,Small Business,0,1,1/5/2012,28451,Critical,33,0.56,Technology,Jumbo Drum,1054.93,Central,3983,4913.7,1/7/2012,Delivery Truck,17.85,Oklahoma,145.45,73071
Fort Dodge,Matt Collins,Consumer,0.01,1,1/5/2012,1028,High,11,0.59,Technology,Small Box,-60.39,Central,165,2021.147,1/7/2012,Regular Air,5.99,Iowa,205.99,50501
Bristol,Corey Roper,Small Business,0.02,1,1/6/2012,48226,Low,23,0.62,Furniture,Jumbo Box,-108.8,East,6773,2357.45,1/6/2012,Delivery Truck,35.84,Connecticut,100.98,6010
Galesburg,Julia West,Home Office,0.04,1,1/6/2012,23488,Critical,30,0.62,Furniture,Jumbo Box,-11053.6,Central,3284,26133.39,1/7/2012,Delivery Truck,44.55,Illinois,880.98,61401
Petersburg,Muhammed Yedwab,Consumer,0.03,1,1/6/2012,16770,Critical,17,0.57,Office Supplies,Wrap Bag,0.61,South,2325,37.06,1/7/2012,Regular Air,0.7,Virginia,2.1,23805
Hilton Head Island,Craig Leslie,Consumer,0.03,1,1/6/2012,14274,Not Specified,2,0.55,Technology,Small Box,-164.043,South,2003,61.7185,1/7/2012,Regular Air,1.1,South Carolina,35.99,29915
Herndon,Tracy Collins,Consumer,0.06,1,1/6/2012,16961,Not Specified,27,0.51,Technology,Small Pack,-37.08,South,2350,46.86,1/7/2012,Regular Air,1.99,Virginia,1.7,20170
Hilton Head Island,Craig Leslie,Consumer,0.01,1,1/6/2012,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,112.44,South,2001,3674.08,1/8/2012,Delivery Truck,30,South Carolina,150.98,29915
Royal Palm Beach,Victor Price,Consumer,0.05,1,1/6/2012,6854,Medium,19,0.37,Furniture,Small Pack,2.39,South,948,129.84,1/8/2012,Express Air,4.95,Florida,6.64,33411
Royal Palm Beach,Victor Price,Consumer,0.07,1,1/6/2012,6854,Medium,1,0.35,Office Supplies,Small Box,-2.392,South,947,22.13,1/8/2012,Express Air,6.16,Florida,7.68,33411
Hilton Head Island,Craig Leslie,Consumer,0.01,1,1/6/2012,14274,Not Specified,46,0.58,Office Supplies,Medium Box,-40.72,South,2002,1413.89,1/8/2012,Express Air,13.99,South Carolina,28.28,29915
Herndon,Tracy Collins,Consumer,0.01,1,1/6/2012,16961,Not Specified,34,0.4,Office Supplies,Small Box,433.24,South,2351,1089.59,1/8/2012,Regular Air,5.09,Virginia,30.98,20170
Fairfax,Maribeth Schnelling,Corporate,0.09,1,1/6/2012,41094,Low,46,0.37,Office Supplies,Small Box,-225.86,South,5794,298.97,1/8/2012,Regular Air,8.73,Virginia,6.48,20151
San Clemente,Julia Barnett,Home Office,0.03,1,1/6/2012,23488,High,29,0.56,Office Supplies,Wrap Bag,-73.19,West,3283,101.77,1/8/2012,Regular Air,3.97,California,3.28,92672
Fairfax,Maribeth Schnelling,Corporate,0.05,1,1/6/2012,41094,Low,6,0.84,Office Supplies,Large Box,-153.46,South,5795,159.05,1/10/2012,Regular Air,35,Virginia,20.34,20151
Las Vegas,Chloris Kastensmidt,Consumer,0.08,1,1/7/2012,43909,High,46,0.37,Office Supplies,Small Box,-199.134,West,6199,737.25,1/8/2012,Regular Air,13.18,Nevada,15.99,89115
Franklin Square,Jasper Cacioppo,Home Office,0.05,1,1/7/2012,3073,Medium,3,0.4,Office Supplies,Small Box,-11.5805,East,450,10.58,1/8/2012,Regular Air,4.77,New York,1.98,11010
Franklin Square,Jasper Cacioppo,Home Office,0.07,1,1/7/2012,3073,Medium,3,0.41,Technology,Large Box,-2314.74,East,451,2119.67,1/8/2012,Express Air,24.49,New York,699.99,11010
Franklin Square,Jasper Cacioppo,Home Office,0.07,1,1/7/2012,3073,Medium,7,0.39,Technology,Large Box,102.61,East,452,45923.76,1/8/2012,Regular Air,24.49,New York,6783.02,11010
Norman,Pauline Chand,Small Business,0.07,1,1/7/2012,32295,High,11,0.58,Technology,Small Box,-112.244,Central,4540,607.597,1/8/2012,Regular Air,5.99,Oklahoma,65.99,73071
Lubbock,George Ashbrook,Consumer,0.09,1,1/7/2012,18405,Medium,30,0.37,Office Supplies,Small Box,60.2735,Central,2538,610.65,1/9/2012,Express Air,8.83,Texas,20.98,79424
Lubbock,George Ashbrook,Consumer,0.03,1,1/7/2012,18405,Medium,2,0.65,Technology,Small Box,-263.09,Central,2539,158.04,1/10/2012,Regular Air,14.52,Texas,73.98,79424
Fresno,Benjamin Venier,Small Business,0.05,1,1/7/2012,33923,Low,34,0.58,Technology,Small Box,425.754,West,4778,1961.7915,1/11/2012,Regular Air,5.99,California,65.99,93727
Brunswick,Julie Kriz,Corporate,0.01,1,1/7/2012,40704,Low,6,0.56,Office Supplies,Wrap Bag,-2.06,East,5733,11.57,1/12/2012,Regular Air,0.7,Maine,1.76,4011
Garfield Heights,Sandra Flanagan,Home Office,0.03,1,1/8/2012,4193,High,3,0.44,Furniture,Small Pack,64.25,East,612,75.77,1/8/2012,Regular Air,8.99,Ohio,22.72,44125
Garfield Heights,Sandra Flanagan,Home Office,0.07,1,1/8/2012,4193,High,16,0.39,Office Supplies,Small Box,14.42,East,611,64.29,1/8/2012,Regular Air,0.99,Ohio,4.13,44125
Myrtle Beach,Luke Schmidt,Home Office,0.07,1,1/8/2012,30083,Not Specified,23,0.58,Office Supplies,Small Box,20.43,South,4234,324.28,1/9/2012,Regular Air,3.5,South Carolina,14.56,29577
Edmonds,Ruben Dartt,Corporate,0.03,1,1/8/2012,7203,High,25,0.38,Office Supplies,Small Box,9296.348,West,998,21752.01,1/10/2012,Regular Air,19.99,Washington,896.99,98026
Pasadena,Mark Haberlin,Small Business,0.05,1,1/9/2012,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,-116.87,West,4451,145.19,1/9/2012,Regular Air,3.97,California,3.28,91104
Lawton,Joni Blumstein,Home Office,0.02,1,1/9/2012,18561,Not Specified,9,0.39,Office Supplies,Small Box,-38.9,Central,2571,45.87,1/10/2012,Regular Air,6.89,Oklahoma,4.13,73505
Pasadena,Mark Haberlin,Small Business,0.01,1,1/9/2012,31715,Not Specified,11,0.36,Office Supplies,Small Box,-53.8545,West,4450,68.5,1/10/2012,Regular Air,7.57,California,5.38,91104
Gilroy,Cynthia Voltz,Corporate,0,1,1/9/2012,8576,High,43,0.59,Office Supplies,Small Pack,-164.25,West,1173,541.45,1/11/2012,Express Air,8.99,California,11.66,95020
Plainfield,Yana Sorensen,Corporate,0.07,1,1/9/2012,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,11.32,East,8161,121.87,1/11/2012,Regular Air,1.35,New Jersey,3.29,7060
Augusta,Mark Haberlin,Small Business,0.09,1,1/9/2012,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,-4.09,East,4449,64.11,1/11/2012,Regular Air,0.97,Maine,2.78,4330
Madison,Olvera Toch,Home Office,0.1,1,1/9/2012,40097,Low,47,0.58,Office Supplies,Wrap Bag,-71,Central,5666,117.88,1/14/2012,Regular Air,2.4,Wisconsin,2.6,53711
King of Prussia,Benjamin Patterson,Corporate,0.04,1,1/9/2012,47138,Low,1,0.59,Technology,Small Box,-506.308,East,6627,107.95,1/16/2012,Regular Air,8.99,Pennsylvania,125.99,19406
East Lansing,Kristina Nunn,Consumer,0.05,1,1/10/2012,55367,Critical,31,0.56,Furniture,Jumbo Box,-686.01,Central,7731,2137.1,1/11/2012,Delivery Truck,46.74,Michigan,70.98,48823
Denton,Darren Powers,Corporate,0.06,1,1/10/2012,14596,Critical,19,0.56,Office Supplies,Wrap Bag,-53.75,Central,2046,63.14,1/11/2012,Regular Air,3.97,Texas,3.28,76201
Lehi,Ann Steele,Corporate,0.02,1,1/10/2012,44391,Not Specified,16,0.37,Office Supplies,Small Box,-85.23,West,6273,112.81,1/11/2012,Regular Air,9.17,Utah,6.48,84043
Pittsburgh,Rob Haberlin,Consumer,0,1,1/10/2012,33988,Medium,30,0.79,Technology,Small Pack,-128.47,East,4787,164.78,1/11/2012,Regular Air,5.14,Pennsylvania,5.02,15122
Essex Junction,Giulietta Dortch,Corporate,0.02,1,1/10/2012,28999,High,34,0.45,Technology,Small Pack,420.05,East,4073,1177.5,1/11/2012,Regular Air,1.99,Vermont,33.98,5451
Denton,Darren Powers,Corporate,0.01,1,1/10/2012,14596,Critical,24,0.43,Furniture,Wrap Bag,73.33,Central,2045,199.12,1/12/2012,Regular Air,0.96,Texas,8.34,76201
Hazelwood,Maria Bertelson,Home Office,0.01,1,1/10/2012,28290,Low,3,0.66,Office Supplies,Small Box,-179.36,Central,3965,523.58,1/12/2012,Express Air,19.99,MO,161.55,63042
East Lansing,Kristina Nunn,Consumer,0.05,1,1/10/2012,55367,Critical,48,0.55,Office Supplies,Wrap Bag,129.87,Central,7732,571.17,1/12/2012,Regular Air,2.36,Michigan,11.55,48823
Minnetonka,Sean Wendt,Corporate,0.09,1,1/10/2012,31553,Critical,32,0.39,Office Supplies,Small Box,1907.94,Central,4425,4906.85,1/12/2012,Regular Air,19.99,Minnesota,162.93,55345
Hazelwood,Maria Bertelson,Home Office,0.05,1,1/10/2012,28290,Low,43,0.74,Technology,Small Box,-154.24,Central,3964,1307.35,1/14/2012,Express Air,8.65,MO,30.42,63042
Pleasure Ridge Park,Michelle Moray,Corporate,0.02,1,1/10/2012,20037,Low,35,0.42,Furniture,Small Box,339.58,South,2775,1009.42,1/15/2012,Regular Air,8.55,Kentucky,29.18,40258
Pleasure Ridge Park,Michelle Moray,Corporate,0.03,1,1/10/2012,20037,Low,49,0.57,Technology,Jumbo Drum,4913.16,South,2776,15137.11,1/15/2012,Delivery Truck,14.7,Kentucky,297.64,40258
Trenton,Bradley Drucker,Small Business,0.03,1,1/11/2012,33797,Not Specified,18,0.36,Office Supplies,Small Box,30.53,East,4758,216.87,1/11/2012,Regular Air,5.01,New Jersey,11.34,8601
Bellingham,Bradley Drucker,Small Business,0.08,1,1/11/2012,33797,Not Specified,20,0.57,Technology,Jumbo Drum,653.68,East,4754,4531.34,1/11/2012,Delivery Truck,14.7,MA,297.64,2019
Beverly,Bradley Drucker,Small Business,0.02,1,1/11/2012,33797,Not Specified,44,0.73,Furniture,Large Box,-449.04,East,4755,574.5,1/12/2012,Regular Air,14.37,MA,12.99,1915
Hanson,Bradley Drucker,Small Business,0.06,1,1/11/2012,33797,Not Specified,18,0.52,Office Supplies,Medium Box,-22.37,East,4756,262.94,1/12/2012,Regular Air,6.75,MA,14.42,2341
Springfield,Alan Barnes,Corporate,0.06,1,1/11/2012,19655,High,31,0.51,Technology,Small Pack,304.42,Central,2726,1143.45,1/12/2012,Regular Air,1.99,Illinois,39.24,62701
Hawthorne,Bradley Drucker,Small Business,0.05,1,1/11/2012,33797,Not Specified,29,0.49,Furniture,Small Box,-103.78,East,4757,138.17,1/13/2012,Express Air,6.6,New Jersey,4.14,7506
Lebanon,Andy Gerbode,Consumer,0.08,1,1/11/2012,21830,Low,19,0.56,Technology,Jumbo Box,906.8,South,3040,6991.65,1/18/2012,Delivery Truck,12.06,Tennessee,399.98,37087
Florence,Cindy Schnelling,Corporate,0.09,1,1/12/2012,20549,Not Specified,40,0.67,Office Supplies,Small Box,-568.71,South,2855,1030.09,1/13/2012,Regular Air,19.99,Kentucky,27.75,41042
Englewood,Greg Matthias,Home Office,0.05,1,1/12/2012,7461,Low,12,0.55,Furniture,Jumbo Drum,593.79,West,1024,4080.3,1/14/2012,Delivery Truck,39,Colorado,350.99,80112
Gaithersburg,Rick Reed,Consumer,0.04,1,1/12/2012,43362,Critical,33,0.35,Office Supplies,Wrap Bag,2.72,East,6123,58.48,1/14/2012,Regular Air,1,Maryland,1.68,20877
Fort Thomas,Liz Price,Consumer,0.1,1,1/12/2012,27813,Medium,10,0.74,Technology,Small Box,-131.03,South,3901,401.14,1/14/2012,Regular Air,6.5,Kentucky,40.98,41075
Gaithersburg,Rick Reed,Consumer,0.03,1,1/12/2012,43362,Critical,45,0.61,Furniture,Jumbo Drum,4276.73,East,6122,15963.09,1/15/2012,Delivery Truck,30,Maryland,350.98,20877
Springfield,Guy Thornton,Corporate,0.01,1,1/12/2012,37862,Not Specified,27,0.57,Office Supplies,Small Box,452.49,Central,5327,1603.27,1/15/2012,Regular Air,3.99,MO,59.98,65807
Englewood,Greg Matthias,Home Office,0,1,1/12/2012,7461,Low,28,0.38,Office Supplies,Small Box,111.4,West,1025,260.79,1/16/2012,Regular Air,1.39,Colorado,8.74,80112
Englewood,Greg Matthias,Home Office,0.02,1,1/12/2012,7461,Low,44,0.83,Office Supplies,Wrap Bag,-16.72,West,1026,90.35,1/16/2012,Regular Air,0.7,Colorado,1.98,80112
College Park,Michelle Huthwaite,Home Office,0.06,1,1/13/2012,51623,Critical,17,0.43,Furniture,Small Box,-66.58,East,7241,39.23,1/13/2012,Regular Air,5.33,Maryland,2.08,20740
Manteca,Brian Stugart,Corporate,0.02,1,1/13/2012,13602,Low,13,0.37,Office Supplies,Small Box,267.67,West,1895,660.99,1/13/2012,Regular Air,5.09,California,48.04,95336
Pembroke Pines,Mike Gockenbach,Consumer,0.07,1,1/13/2012,25541,Low,50,0.36,Office Supplies,Small Box,-111.34,South,3582,297.76,1/15/2012,Regular Air,5.79,Florida,5.98,33024
Manteca,Brian Stugart,Corporate,0.03,1,1/13/2012,13602,Low,3,0.56,Technology,Jumbo Drum,-377.9019,West,1894,445.34,1/18/2012,Delivery Truck,17.85,California,145.45,95336
Post Falls,Tamara Manning,Corporate,0.06,1,1/14/2012,43911,Medium,29,0.6,Furniture,Large Box,-53.89,West,6200,577.89,1/14/2012,Regular Air,11.17,Idaho,19.99,83854
Germantown,Toby Swindell,Small Business,0.1,1,1/14/2012,30567,Not Specified,14,0.58,Office Supplies,Jumbo Drum,-368.02,South,4291,2690.84,1/14/2012,Delivery Truck,68.02,Tennessee,208.16,38138
Allentown,Clytie Kelty,Small Business,0.02,1,1/14/2012,34691,Critical,23,0.56,Technology,Jumbo Drum,1425.11,East,4876,7202.94,1/14/2012,Delivery Truck,26.53,Pennsylvania,306.14,18103
Hendersonville,Toby Swindell,Small Business,0.07,1,1/14/2012,30567,Not Specified,8,0.4,Office Supplies,Small Box,103.13,South,4292,733.55,1/15/2012,Regular Air,19.99,Tennessee,90.48,37075
Hendersonville,Toby Swindell,Small Business,0.02,1,1/14/2012,30567,Not Specified,14,0.56,Office Supplies,Wrap Bag,7.32,South,4294,62.6,1/15/2012,Regular Air,0.94,Tennessee,4.28,37075
Post Falls,Tamara Manning,Corporate,0,1,1/14/2012,43911,Medium,36,0.58,Technology,Jumbo Drum,2685.19,West,6201,9920.85,1/15/2012,Delivery Truck,17.86,Idaho,264.98,83854
Rexburg,Tamara Manning,Corporate,0.06,1,1/14/2012,43911,Medium,23,0.57,Furniture,Jumbo Drum,1278.45,West,6202,7484.31,1/16/2012,Delivery Truck,58.95,Idaho,320.98,83440
Hendersonville,Toby Swindell,Small Business,0.01,1,1/14/2012,30567,Not Specified,3,0.45,Furniture,Small Pack,23,South,4293,38.71,1/16/2012,Express Air,7.29,Tennessee,9.48,37075
Allentown,Clytie Kelty,Small Business,0.1,1,1/14/2012,34691,Critical,13,0.37,Office Supplies,Small Box,-7.39,East,4877,245.82,1/16/2012,Express Air,9.54,Pennsylvania,18.97,18103
Allentown,Clytie Kelty,Small Business,0.08,1,1/14/2012,34691,Critical,27,0.58,Office Supplies,Small Box,-168.75,East,4875,217.68,1/16/2012,Regular Air,9.23,Pennsylvania,7.77,18103
Salinas,Jennifer Patt,Home Office,0.08,1,1/14/2012,8325,Critical,21,0.4,Technology,Jumbo Drum,-220.0491,West,1144,2364.29,1/16/2012,Delivery Truck,56.14,California,115.99,93905
Salinas,Jennifer Patt,Home Office,0.08,1,1/14/2012,8325,Critical,27,0.56,Office Supplies,Wrap Bag,13.92,West,1145,112.57,1/17/2012,Regular Air,0.94,California,4.28,93905
Battle Creek,Giulietta Weimer,Corporate,0,1,1/15/2012,37729,Not Specified,48,0.38,Office Supplies,Small Box,-26.7835,Central,5297,447.89,1/15/2012,Regular Air,6.19,Michigan,8.6,49017
Hattiesburg,Jennifer Jackson,Home Office,0.08,1,1/15/2012,12676,High,25,0.49,Furniture,Small Box,-80.86,South,1769,201.06,1/16/2012,Express Air,7.96,Mississippi,8.09,39401
Knoxville,Amy Hunt,Consumer,0.09,1,1/15/2012,22243,Critical,9,0.56,Office Supplies,Wrap Bag,-1.82,South,3103,24.76,1/16/2012,Regular Air,0.7,Tennessee,2.88,37918
West Mifflin,Amy Cox,Small Business,0.06,1,1/15/2012,48773,Medium,7,0.38,Office Supplies,Wrap Bag,3.27,East,6849,51.27,1/17/2012,Regular Air,2.17,Pennsylvania,7.04,15122
Lombard,Skye Norling,Home Office,0.01,1,1/15/2012,6884,Low,41,0.36,Office Supplies,Small Box,-61.21,Central,950,217,1/20/2012,Regular Air,4.75,Illinois,4.98,60148
Lombard,Skye Norling,Home Office,0.04,1,1/15/2012,6884,Low,47,0.39,Office Supplies,Wrap Bag,119.09,Central,951,296.13,1/20/2012,Regular Air,1.02,Illinois,6.35,60148
Boardman,Xylona Price,Corporate,0.04,1,1/16/2012,30915,Low,20,0.57,Office Supplies,Wrap Bag,-17.75,East,4341,62.78,1/16/2012,Express Air,2.03,Ohio,2.98,44512
Naperville,Sylvia Foulston,Corporate,0.1,1,1/16/2012,31781,Medium,46,0.39,Office Supplies,Small Box,-282.6125,Central,4459,249.02,1/17/2012,Regular Air,8.49,Illinois,5.81,60540
Naperville,Sylvia Foulston,Corporate,0.03,1,1/16/2012,31781,Medium,41,0.52,Office Supplies,Wrap Bag,5.53,Central,4460,78.49,1/17/2012,Regular Air,0.75,Illinois,1.81,60540
Hot Springs,Joe Elijah,Home Office,0,1,1/16/2012,49541,Medium,35,0.57,Office Supplies,Small Box,16.46,South,6941,503.75,1/17/2012,Regular Air,5.5,Arkansas,13.43,71901
Woodmere,Jason Klamczynski,Small Business,0.05,1,1/16/2012,39173,Critical,2,0.76,Furniture,Jumbo Box,-433.290143,East,5534,373.27,1/18/2012,Delivery Truck,29.21,New York,179.29,11598
Laurel,Sanjit Jacobs,Consumer,0.02,1,1/16/2012,2370,Critical,6,0.69,Furniture,Medium Box,-85.76,East,345,679.6,1/18/2012,Regular Air,13.99,Maryland,110.98,20707
Laurel,Sanjit Jacobs,Consumer,0.01,1,1/16/2012,2370,Critical,30,0.4,Office Supplies,Wrap Bag,59.18,East,346,257.42,1/18/2012,Regular Air,2.87,Maryland,8.01,20707
Woodmere,Jason Klamczynski,Small Business,0.09,1,1/16/2012,39173,Critical,36,0.52,Office Supplies,Wrap Bag,3.23,East,5533,76.48,1/18/2012,Regular Air,0.78,New York,2.18,11598
Murfreesboro,Christina Anderson,Corporate,0.04,1,1/16/2012,22147,Low,37,0.44,Furniture,Small Pack,175.07,South,3086,832.14,1/20/2012,Regular Air,8.99,Tennessee,22.72,37130
Boardman,Xylona Price,Corporate,0.01,1,1/16/2012,30915,Low,25,0.59,Technology,Small Box,561.132,East,4342,2836.0505,1/21/2012,Regular Air,8.99,Ohio,125.99,44512
Palm Beach Gardens,Katherine Ducich,Corporate,0.06,1,1/17/2012,10272,Medium,26,0.39,Office Supplies,Small Box,76.43,South,1416,566.39,1/17/2012,Regular Air,8.18,Florida,22.84,33403
Wilmette,Carlos Soltero,Small Business,0.08,1,1/17/2012,12771,Critical,40,0.39,Office Supplies,Small Box,-193.44,Central,1781,1143.49,1/17/2012,Regular Air,19.99,Illinois,30.53,60091
Sioux Falls,Paul Prost,Corporate,0.1,1,1/17/2012,46884,Medium,25,0.55,Office Supplies,Wrap Bag,39.52,Central,6587,280.43,1/18/2012,Regular Air,2.36,South Dakota,11.55,57103
Clarksville,Randy Ferguson,Home Office,0.05,1,1/17/2012,32868,Not Specified,39,0.55,Office Supplies,Small Pack,200.53,South,4612,1101.28,1/18/2012,Regular Air,6.17,Tennessee,28.15,37042
Cranston,Benjamin Venier,Small Business,0.05,1,1/17/2012,1921,Medium,24,0.57,Office Supplies,Jumbo Drum,541.47,East,278,7871.91,1/19/2012,Delivery Truck,91.05,Rhode Island,328.14,2910
Meridian,Joel Eaton,Home Office,0.05,1,1/17/2012,43620,Medium,11,0.36,Office Supplies,Wrap Bag,-0.13,South,6159,49.76,1/19/2012,Express Air,2.26,Mississippi,4.2,39301
Palm Beach Gardens,Katherine Ducich,Corporate,0.03,1,1/17/2012,10272,Medium,3,0.4,Office Supplies,Small Box,-50.43,South,1415,299.08,1/19/2012,Regular Air,19.99,Florida,90.48,33403
